,Year,Agriculture Forestry and Fishing,Industry,Industry - Transportable Goods Industries and Utilities,Industry - Building and Construction,Distribution Transport Software and Communication,Public Administration and Defence,Other Services (including Rent),All Sectors
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),1997Q1,1170,6558,5483,1225,5083,1204,8567,19960
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),1997Q2,1463,7065,5929,1297,5353,1252,8837,21473
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),1997Q3,939,7012,5783,1388,5676,1280,8956,21163
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),1997Q4,646,7296,6049,1414,6179,1284,8957,22347
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),1998Q1,1214,7667,6510,1331,5778,1182,9037,21986
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),1998Q2,1379,7562,6402,1332,6391,1245,9037,23132
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),1998Q3,895,7809,6482,1505,6478,1274,9430,23549
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),1998Q4,656,7714,6296,1596,6589,1273,9628,23510
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),1999Q1,1110,8388,7055,1525,6466,1209,9474,24030
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),1999Q2,1346,8522,7171,1547,6601,1271,9847,24878
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),1999Q3,930,8407,6920,1679,7185,1312,10305,25704
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),1999Q4,657,9387,7920,1682,7520,1315,10558,27267
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2000Q1,1074,9066,7638,1638,7148,1266,10201,26057
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2000Q2,1394,9940,8493,1687,7147,1326,10510,27945
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2000Q3,944,9621,8102,1741,7649,1371,11010,27846
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2000Q4,604,11397,9885,1797,7563,1399,11457,30251
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2001Q1,1059,10848,9462,1691,7384,1329,11130,28879
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2001Q2,1412,10868,9458,1712,7067,1407,11717,30003
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2001Q3,901,9739,8138,1799,7459,1456,12102,29386
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2001Q4,653,10857,9233,1879,7288,1462,12434,30890
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2002Q1,903,11053,9633,1727,7394,1393,11694,30254
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2002Q2,1256,12176,10840,1719,7414,1459,11973,31670
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2002Q3,833,10863,9274,1853,7829,1505,12221,31290
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2002Q4,538,11769,10164,1913,7987,1503,12616,33130
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2003Q1,979,11124,9701,1734,7562,1437,12452,31074
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2003Q2,1323,11920,10494,1777,7825,1501,12433,33083
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2003Q3,900,10204,8408,1987,8173,1541,12816,31449
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2003Q4,590,12822,10974,2165,8158,1542,12997,35272
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2004Q1,978,11636,9934,1979,7988,1487,13154,32895
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2004Q2,1274,12482,10751,2056,8081,1547,13174,34664
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2004Q3,863,10503,8501,2120,8440,1580,13613,33052
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2004Q4,571,12260,10201,2276,8720,1578,14237,35851
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2005Q1,980,12389,10537,2146,8390,1503,13667,35081
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2005Q2,1281,12865,10845,2290,8572,1573,14131,36821
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2005Q3,825,11499,9142,2400,8680,1613,14813,34928
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2005Q4,587,13219,10949,2477,9017,1607,15213,38089
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2006Q1,1220,12812,10581,2416,8983,1553,15064,37225
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2006Q2,1570,14129,12291,2321,8974,1619,15342,39182
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2006Q3,840,12564,10093,2526,9531,1677,15823,37680
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2006Q4,577,12849,10503,2484,9927,1667,16386,39344
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2007Q1,1150,13524,11158,2551,10648,1627,16108,40279
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2007Q2,1525,12972,10875,2365,10676,1715,16159,41112
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2007Q3,860,12361,9944,2455,10308,1773,16726,38978
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2007Q4,658,13063,10774,2467,10840,1762,17001,42169
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2008Q1,1082,13070,10761,2478,10647,1747,16191,40607
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2008Q2,1376,13052,11059,2298,10477,1851,16267,41269
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2008Q3,911,11945,9657,2364,10852,1882,16651,40015
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2008Q4,613,10739,8669,2133,10725,1863,16575,39425
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2009Q1,1114,12208,10673,1834,9913,1691,16466,39367
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2009Q2,1477,12034,10704,1667,9874,1752,16468,39925
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2009Q3,846,10253,8790,1674,10218,1774,16760,37962
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2009Q4,632,9761,8405,1566,9954,1722,16783,38148
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2010Q1,959,12145,10980,1207,10074,1654,16174,38821
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2010Q2,1294,11727,10571,1216,10045,1708,16390,39638
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2010Q3,1041,10559,9405,1280,10746,1744,16531,38942
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2010Q4,802,10792,9635,1270,10470,1674,16869,39166
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2011Q1,1006,11564,10475,1101,10268,1592,16263,38851
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2011Q2,1360,12279,11188,1053,10353,1660,17019,41790
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2011Q3,1147,10516,9494,1057,10381,1606,17125,40199
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2011Q4,863,10455,9440,1050,10530,1575,17355,40667
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2012Q1,1102,11685,10714,910,10013,1515,16551,39538
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2012Q2,1413,12030,11024,948,9649,1560,16693,41785
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2012Q3,1020,10212,9219,1022,10850,1590,17276,40038
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2012Q4,733,9702,8660,1125,10902,1564,17528,40402
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2013Q1,739,10944,9988,952,10435,1490,16151,39002
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2013Q2,1096,11453,10418,1032,10769,1545,16404,40903
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2013Q3,1193,9959,8795,1166,11789,1588,16937,41966
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2013Q4,924,9548,8315,1236,11897,1552,17200,41247
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2014Q1,861,11088,10044,1044,11054,1523,16816,40513
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2014Q2,1357,13138,11950,1188,11129,1579,16921,43484
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2014Q3,1312,10380,9120,1259,12675,1547,17823,43726
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2014Q4,1118,10273,9039,1234,12540,1504,17956,43423
Gross Domestic Product at Constant Factor Cost (chain linked annually and referenced to 2013) (Euro Million),2015Q1,885,12335,11176,1160,12143,1440,17560,43518
